,1-Gram,Frequency,2-Gram,Frequency,3-Gram,Frequency
75,"('want',)",4363.0,"('toppings', 'like')",16.0,,
76,"('good',)",43021.0,"('like', 'fact')",49.0,,
77,"('wonderful',)",1631.0,,,,
78,"('choices',)",1244.0,,,,
79,"('particularly',)",418.0,,,,
80,"('seemed',)",1892.0,,,,
81,"('little',)",11208.0,,,,
82,"('limiting',)",12.0,,,,
83,"('felt',)",1409.0,,,,
84,"('food',)",29292.0,"('tell', 'server')",14.0,,
85,"('items',)",2715.0,,,,
86,"('sauces',)",1048.0,"('want', 'sushi')",178.0,,
87,"('tasty',)",5401.0,"('bowl', 'good')",65.0,,
88,"('husband',)",2047.0,,,,
89,"('ordered',)",12561.0,,,,
90,"('maui',)",33.0,,,,
91,"('roll',)",25303.0,,,,
92,"('favorite',)",5981.0,,,,
93,"('location',)",2881.0,"('seemed', 'little')",105.0,,
94,"('just',)",14289.0,,,,
95,"('standard',)",1144.0,,,,
96,"('quality',)",5684.0,"('felt', 'rice')",7.0,,
97,"('consistently',)",600.0,"('rice', 'food')",22.0,,
98,"('back',)",13228.0,"('food', 'items')",79.0,,
99,"('though',)",4900.0,,,,
100,"('think',)",5323.0,,,,
101,"('lot',)",4915.0,"('tasty', 'husband')",13.0,,
102,"('people',)",4847.0,"('husband', 'ordered')",144.0,,
103,"('happy',)",5921.0,,,,
104,"('bowls',)",813.0,"('maui', 'roll')",10.0,,
105,"('make',)",4974.0,"('roll', 'favorite')",238.0,,
106,"('comment',)",281.0,"('favorite', 'roll')",215.0,"('roll', 'favorite', 'roll')",14.0
107,"('low',)",717.0,,,,
108,"('reviews',)",1743.0,"('street', 'location')",13.0,,
109,"('given',)",1059.0,"('location', 'just')",19.0,,
110,"('isnt',)",1990.0,"('just', 'standard')",25.0,,
111,"('mcdonalds',)",33.0,"('standard', 'good')",19.0,,
112,"('will',)",11675.0,"('good', 'quality')",646.0,,
113,"('bit',)",6819.0,"('quality', 'consistently')",9.0,,
114,"('slower',)",115.0,"('consistently', 'good')",276.0,,
115,"('going',)",4068.0,,,,
116,"('get',)",14280.0,,,,
117,"('five',)",966.0,"('go', 'back')",2513.0,,
118,"('minutes',)",2412.0,"('back', 'though')",58.0,,
119,"('even',)",6088.0,"('though', 'think')",32.0,,
120,"('called',)",891.0,"('think', 'lot')",7.0,"('go', 'back', 'though')",14.0
121,"('express',)",99.0,"('lot', 'people')",110.0,,
122,"('healthy',)",405.0,"('people', 'happy')",8.0,,
123,"('alternative',)",138.0,"('happy', 'sushi')",48.0,,
124,"('fast',)",2577.0,"('sushi', 'bowls')",21.0,,
125,"('worth',)",3985.0,,,,
126,"('wait',)",5034.0,"('want', 'make')",45.0,,
127,"('oh',)",940.0,,,,
128,"('try',)",9987.0,,,,
129,"('bubble',)",297.0,"('low', 'reviews')",10.0,,
130,"('tea',)",2657.0,"('reviews', 'people')",12.0,,
131,"('strawberry',)",287.0,,,,
132,"('quite',)",3548.0,"('given', 'place')",35.0,,
133,"('yummy',)",2037.0,"('place', 'service')",123.0,,
134,"('next',)",4303.0,"('service', 'people')",12.0,,
135,"('vanilla',)",164.0,"('people', 'sushi')",41.0,,
136,"('chai',)",14.0,"('place', 'isnt')",88.0,,
137,"('1st',)",124.0,,,,
138,"('eating',)",2277.0,,,,
139,"('clean',)",3146.0,"('will', 'bit')",6.0,"('sushi', 'place', 'isnt')",8.0
140,"('nice',)",12560.0,"('bit', 'slower')",16.0,,
141,"('folks',)",362.0,,,,
142,"('spot',)",4343.0,"('going', 'order')",41.0,,
143,"('fresh',)",13482.0,"('order', 'get')",73.0,,
144,"('reasonably',)",883.0,"('get', 'five')",28.0,,
145,"('priced',)",1794.0,"('five', 'minutes')",56.0,,
146,"('sweet',)",3641.0,"('minutes', 'even')",28.0,,
147,"('sour',)",656.0,"('even', 'though')",943.0,,
148,"('chicken',)",7998.0,"('though', 'called')",8.0,,
149,"('chow',)",179.0,,,,
150,"('mein',)",333.0,,,"('minutes', 'even', 'though')",7.0
151,"('excellent',)",4706.0,"('healthy', 'alternative')",8.0,"('even', 'though', 'called')",6.0
152,"('cuts',)",324.0,,,,
153,"('times',)",5048.0,"('fast', 'food')",249.0,,
154,"('enjoyed',)",4453.0,"('food', 'area')",45.0,,
155,"('pricey',)",1570.0,"('area', 'worth')",10.0,,
156,"('least',)",1562.0,"('worth', 'wait')",198.0,,
157,"('late',)",1211.0,,,,
158,"('dinner',)",7390.0,,,,
159,"('sunday',)",1052.0,"('try', 'bubble')",9.0,,
160,"('night',)",6349.0,"('bubble', 'tea')",236.0,,
161,"('surprised',)",1642.0,,,,
162,"('ticket',)",72.0,,,,
163,"('plate',)",1579.0,"('quite', 'yummy')",26.0,"('try', 'bubble', 'tea')",8.0
164,"('full',)",2915.0,"('yummy', 'next')",6.0,,
165,"('cost',)",624.0,"('next', 'time')",1865.0,,
166,"('1300',)",8.0,"('time', 'going')",57.0,,
167,"('staff',)",6638.0,"('going', 'try')",62.0,,
168,"('seems',)",1428.0,,,,
169,"('soon',)",1170.0,,,,
170,"('deducted',)",36.0,,,,
171,"('star',)",2099.0,"('1st', 'time')",51.0,,
172,"('waiter',)",1608.0,"('time', 'eating')",99.0,,
173,"('wasnt',)",4586.0,,,,
174,"('first',)",6973.0,"('clean', 'nice')",64.0,,
175,"('question',)",141.0,"('nice', 'folks')",11.0,,
176,"('soup',)",7758.0,,,,
177,"('wanted',)",2361.0,"('good', 'sushi')",2458.0,,
178,"('appetizer',)",2679.0,"('sushi', 'will')",201.0,,
179,"('lunch',)",10904.0,"('will', 'go')",461.0,,
180,"('special',)",5267.0,"('back', 'service')",78.0,,
181,"('assumed',)",64.0,"('service', 'spot')",35.0,"('good', 'sushi', 'will')",15.0
182,"('seaweed',)",1661.0,"('spot', 'sushi')",179.0,"('sushi', 'will', 'go')",7.0
183,,,"('sushi', 'fresh')",1024.0,"('will', 'go', 'back')",302.0
184,"('small',)",5414.0,"('fresh', 'reasonably')",46.0,"('go', 'back', 'service')",22.0
185,"('sashimi',)",4303.0,"('reasonably', 'priced')",780.0,,
186,"('banzai',)",16.0,,,,
187,"('unique',)",1232.0,"('sweet', 'sour')",240.0,"('spot', 'sushi', 'fresh')",7.0
188,"('raw',)",1497.0,"('sour', 'chicken')",106.0,"('sushi', 'fresh', 'reasonably')",13.0
189,"('white',)",1686.0,"('chicken', 'chicken')",51.0,"('fresh', 'reasonably', 'priced')",43.0
190,"('avocado',)",2778.0,"('chicken', 'chow')",14.0,,
191,"('egg',)",1672.0,"('chow', 'mein')",49.0,,
192,"('wrapped',)",653.0,,,"('sweet', 'sour', 'chicken')",101.0
193,"('cucumber',)",1410.0,"('excellent', 'like')",16.0,,
194,"('sauce',)",7170.0,"('like', 'chicken')",76.0,,
195,"('perfect',)",2816.0,,,"('chicken', 'chow', 'mein')",8.0
196,"('looking',)",3003.0,,,,
197,,,"('mein', 'also')",7.0,,
198,"('dressing',)",1288.0,"('also', 'tried')",351.0,,
199,"('carrot',)",162.0,"('sushi', 'times')",28.0,,
200,"('pure',)",74.0,"('times', 'enjoyed')",18.0,,
201,"('horrible',)",185.0,"('enjoyed', 'little')",10.0,,
202,,,"('little', 'pricey')",443.0,,
203,"('hungry',)",984.0,,,,
204,"('can',)",13270.0,"('least', 'great')",7.0,"('also', 'tried', 'sushi')",15.0
205,"('ayce',)",1638.0,"('great', 'food')",1329.0,,
206,"('spend',)",429.0,"('food', 'just')",195.0,,
207,"('25',)",507.0,,,,
208,"('popped',)",129.0,"('late', 'dinner')",51.0,,
209,"('weekend',)",800.0,"('dinner', 'sunday')",21.0,,
210,"('decided',)",2520.0,"('sunday', 'night')",164.0,,
211,"('la',)",637.0,"('night', 'really')",53.0,,
212,"('carte',)",306.0,"('really', 'surprised')",36.0,,
213,"('long',)",2984.0,"('surprised', 'good')",57.0,,
214,"('hand',)",1336.0,"('sushi', 'low')",13.0,,
215,"('drink',)",2491.0,,,,
216,"('chocolate',)",530.0,,,"('dinner', 'sunday', 'night')",6.0
217,"('mochi',)",471.0,"('plate', 'full')",12.0,,
218,"('omg',)",236.0,"('full', 'sushi')",81.0,,
219,"('officially',)",36.0,"('sushi', 'cost')",7.0,,
220,"('total',)",478.0,,,"('surprised', 'good', 'sushi')",12.0
221,"('came',)",8304.0,,,,
222,"('20',)",1297.0,"('staff', 'seems')",21.0,,
223,"('tip',)",832.0,"('seems', 'good')",15.0,,
224,"('filled',)",815.0,"('good', 'time')",340.0,,
225,"('belly',)",638.0,"('time', 'friendly')",15.0,,
226,"('enough',)",3012.0,"('friendly', 'place')",85.0,,
227,"('satisfied',)",742.0,"('place', 'really')",393.0,,
228,"('gone',)",607.0,"('really', 'enjoyed')",1043.0,,
229,"('broke',)",81.0,"('enjoyed', 'will')",32.0,,
230,"('wouldve',)",276.0,"('will', 'back')",1277.0,,
231,"('stuffed',)",591.0,"('back', 'soon')",302.0,,
232,"('point',)",1481.0,,,,
233,"('wouldnt',)",1191.0,"('deducted', 'one')",9.0,,
234,"('needed',)",901.0,"('one', 'star')",285.0,,
235,"('eat',)",8680.0,"('star', 'service')",79.0,"('place', 'really', 'enjoyed')",11.0
236,"('anything',)",1843.0,"('service', 'great')",1567.0,"('really', 'enjoyed', 'will')",13.0
237,"('day',)",3018.0,"('great', 'waiter')",32.0,,
238,"('plan',)",606.0,"('waiter', 'wasnt')",13.0,"('will', 'back', 'soon')",72.0
239,"('particular',)",344.0,"('wasnt', 'friendly')",18.0,,
240,"('daythe',)",13.0,"('friendly', 'first')",14.0,,
241,"('rolls',)",21890.0,,,"('deducted', 'one', 'star')",8.0
242,"('tasted',)",2641.0,,,"('one', 'star', 'service')",20.0
243,"('delicious',)",10855.0,"('soup', 'salad')",1012.0,,
244,"('surprise',)",687.0,,,"('service', 'great', 'waiter')",15.0
245,"('definitely',)",10863.0,"('wanted', 'order')",72.0,,
246,"('creamy',)",538.0,"('order', 'appetizer')",25.0,,
247,"('1',)",1691.0,"('appetizer', 'lunch')",6.0,,
248,"('specific',)",126.0,"('lunch', 'special')",1041.0,,
249,"('suggestions',)",233.0,,,,
250,"('improvement',)",140.0,,,,
251,"('menu',)",12109.0,,,,
252,,,"('seaweed', 'salad')",1046.0,,
253,"('flavor',)",3593.0,"('salad', 'really')",76.0,,
254,"('ultra',)",50.0,"('really', 'good')",3261.0,,
255,"('ton',)",522.0,,,,
256,"('places',)",4998.0,,,,
257,"('reno',)",1390.0,"('small', 'good')",20.0,,
258,"('rickshaw',)",27.0,"('good', 'sashimi')",69.0,,
259,"('freshest',)",254.0,"('sashimi', 'fresh')",156.0,,
260,"('im',)",8284.0,,,"('seaweed', 'salad', 'really')",13.0
261,"('big',)",3561.0,"('banzai', 'roll')",7.0,"('salad', 'really', 'good')",31.0
262,"('fan',)",2322.0,"('roll', 'great')",259.0,,
263,"('opt',)",124.0,"('great', 'unique')",9.0,,
264,"('mainly',)",215.0,,,,
265,"('nigiri',)",2820.0,"('raw', 'salmon')",48.0,,
266,"('dressed',)",168.0,"('salmon', 'white')",59.0,"('good', 'sashimi', 'fresh')",7.0
267,"('anywhere',)",514.0,"('white', 'fish')",129.0,,
268,"('hell',)",140.0,"('fish', 'avocado')",12.0,,
269,"('buy',)",353.0,,,,
270,"('store',)",543.0,"('fish', 'egg')",6.0,,
271,"('true',)",383.0,,,,
272,"('cant',)",3954.0,"('wrapped', 'cucumber')",63.0,,
273,"('beat',)",748.0,,,,
274,"('prices',)",4560.0,"('sweet', 'sauce')",113.0,"('salmon', 'white', 'fish')",22.0
275,"('unlimited',)",206.0,"('sauce', 'perfect')",44.0,,
276,"('ive',)",9560.0,"('perfect', 'looking')",7.0,,
277,"('better',)",5294.0,,,,
278,"('subpar',)",116.0,,,,
279,"('crab',)",4437.0,"('roll', 'salad')",33.0,,
280,"('rangoon',)",677.0,"('salad', 'dressing')",179.0,,
281,"('worst',)",202.0,"('dressing', 'like')",11.0,,
282,"('twice',)",1063.0,,,,
283,"('sake',)",2398.0,,,,
284,"('sat',)",1829.0,,,,
285,"('bamboo',)",161.0,,,,
286,"('room',)",1813.0,,,,
287,"('added',)",931.0,"('sushi', 'youre')",64.0,,
288,"('experience',)",5552.0,"('youre', 'hungry')",52.0,,
289,"('able',)",1485.0,"('hungry', 'can')",19.0,,
291,"('chinese',)",2915.0,,,,
292,"('beer',)",1555.0,"('want', 'spend')",32.0,,
293,"('selection',)",3181.0,,,,
294,"('havent',)",1271.0,,,,
295,"('yet',)",1415.0,,,,
296,"('speak',)",374.0,,,,
297,"('exactly',)",649.0,,,,
298,"('cordial',)",30.0,"('late', 'lunch')",149.0,,
299,"('theyre',)",1315.0,"('lunch', 'decided')",14.0,,
300,"('plenty',)",1426.0,"('decided', 'order')",118.0,,
301,"('expensive',)",1497.0,"('order', 'la')",29.0,,
302,"('fancy',)",797.0,"('la', 'carte')",250.0,,
303,"('restaurant',)",12472.0,,,,
304,"('reasonable',)",2022.0,"('ordered', 'long')",7.0,,
305,"('expectations',)",415.0,"('long', 'roll')",86.0,,
306,"('friend',)",2945.0,"('roll', 'hand')",29.0,,
307,"('mine',)",569.0,"('hand', 'roll')",361.0,,
308,"('took',)",2935.0,,,,
309,"('jewel',)",23.0,,,,
310,"('near',)",947.0,"('chocolate', 'mochi')",10.0,"('order', 'la', 'carte')",25.0
311,"('dale',)",57.0,,,,
312,"('mabry',)",54.0,,,,
313,"('12',)",1043.0,,,,
314,"('tables',)",2554.0,,,"('long', 'roll', 'hand')",8.0
315,"('bar',)",7212.0,,,"('roll', 'hand', 'roll')",18.0
316,"('sit',)",2015.0,"('total', 'cost')",10.0,,
317,"('entertainment',)",147.0,,,,
318,"('value',)",1018.0,"('came', 'just')",41.0,,
319,"('chefs',)",1909.0,"('just', '20')",12.0,,
320,"('owner',)",856.0,"('20', 'tip')",19.0,,
321,"('pretty',)",10258.0,,,,
322,"('chatty',)",22.0,,,,
323,"('say',)",4199.0,,,,
324,"('hi',)",58.0,,,,
325,"('everyone',)",1867.0,,,,
326,"('comes',)",2223.0,"('gone', 'just')",6.0,,
327,"('feel',)",2558.0,"('just', 'one')",152.0,,
328,"('ended',)",1179.0,"('one', 'roll')",199.0,,
329,"('table',)",4976.0,"('roll', 'probably')",52.0,,
330,"('average',)",1488.0,,,,
331,"('fare',)",310.0,,,,
332,"('tuna',)",8059.0,"('even', 'ayce')",7.0,,
333,"('rainbow',)",824.0,,,,
334,"('couple',)",2226.0,"('probably', 'wouldve')",11.0,,
335,"('pieces',)",2850.0,,,,
336,"('yellow',)",489.0,"('stuffed', 'point')",6.0,,
337,"('tail',)",384.0,,,,
338,"('2',)",4118.0,,,,
340,"('done',)",1337.0,"('eat', 'anything')",25.0,,
341,"('well',)",10284.0,"('anything', 'else')",185.0,,
342,"('super',)",3774.0,,,,
343,"('sticky',)",326.0,,,,
344,"('fill',)",542.0,,,,
345,"('soy',)",1271.0,,,,
346,"('end',)",1739.0,,,,
347,,,"('rolls', 'tasted')",69.0,,
348,"('wont',)",1150.0,"('tasted', 'fresh')",535.0,,
349,"('disappointed',)",1772.0,"('fresh', 'delicious')",695.0,,
350,"('spent',)",320.0,"('delicious', 'surprise')",7.0,,
351,"('30',)",840.0,,,,
352,"('fine',)",1136.0,,,,
353,"('price',)",6264.0,,,,
354,"('got',)",9704.0,,,,
355,"('certainly',)",732.0,"('tasty', 'tasty')",11.0,,
356,"('went',)",5951.0,"('tasty', 'sushi')",197.0,"('rolls', 'tasted', 'fresh')",27.0
357,"('pleasantly',)",899.0,"('sushi', 'reasonably')",43.0,"('tasted', 'fresh', 'delicious')",28.0
358,"('recently',)",857.0,"('priced', 'service')",29.0,,
359,"('moved',)",596.0,"('service', 'quick')",438.0,,
360,"('tampa',)",1205.0,,,,
361,"('los',)",71.0,,,,
362,"('angeles',)",49.0,,,,
363,"('give',)",4288.0,,,,
364,"('ploy',)",22.0,,,,
365,"('thai',)",5758.0,,,,
366,"('standards',)",213.0,,,"('sushi', 'reasonably', 'priced')",41.0
367,"('flavorful',)",1757.0,,,"('reasonably', 'priced', 'service')",22.0
368,"('ingredients',)",1326.0,,,,
369,"('frequent',)",363.0,,,,
370,"('patrons',)",272.0,,,,
371,"('enjoy',)",2640.0,"('sushi', 'places')",1291.0,,
372,"('fun',)",2689.0,"('places', 'reno')",81.0,,
373,"('tvs',)",227.0,"('reno', 'tried')",8.0,,
374,"('music',)",1427.0,"('tried', 'always')",10.0,,
375,"('hardworking',)",10.0,"('always', 'seems')",61.0,,
376,,,"('seems', 'like')",314.0,,
377,"('cool',)",1823.0,,,,
378,"('atmosphere',)",4490.0,,,,
379,"('appreciate',)",472.0,"('freshest', 'fish')",37.0,,
380,"('business',)",1090.0,"('fish', 'im')",20.0,,
381,,,"('im', 'big')",204.0,"('good', 'sushi', 'places')",29.0
382,"('pizza',)",515.0,"('big', 'fan')",359.0,"('sushi', 'places', 'reno')",55.0
383,"('south',)",596.0,"('fan', 'rolls')",24.0,,
384,"('jersey',)",163.0,"('rolls', 'sauces')",9.0,,
385,"('unofficial',)",8.0,,,,
386,,,,,"('always', 'seems', 'like')",7.0
387,"('makes',)",1694.0,,,,
388,"('nyc',)",205.0,"('nigiri', 'sashimi')",118.0,,
389,"('trenton',)",6.0,"('sashimi', 'can')",18.0,,
390,"('philly',)",1506.0,"('can', 'get')",1263.0,,
391,"('delaware',)",74.0,"('get', 'dressed')",10.0,,
392,"('chicago',)",106.0,,,"('im', 'big', 'fan')",126.0
393,"('ever',)",3027.0,"('roll', 'anywhere')",6.0,"('big', 'fan', 'rolls')",7.0
394,"('crust',)",94.0,,,,
395,"('thin',)",485.0,,,,
396,"('crispy',)",1434.0,"('can', 'buy')",35.0,,
397,"('chew',)",71.0,,,,
399,"('cutlet',)",51.0,,,,
400,"('lobster',)",1288.0,"('fan', 'sushi')",157.0,,
401,"('truffle',)",162.0,"('sushi', 'just')",249.0,,
402,"('oil',)",428.0,"('just', 'fish')",16.0,,
403,"('light',)",1317.0,,,,
404,"('cream',)",2875.0,,,,
405,"('asparagus',)",466.0,,,,
406,"('shallots',)",23.0,"('cant', 'beat')",439.0,,
407,"('sundried',)",10.0,"('beat', 'prices')",22.0,,
408,"('tomatoes',)",134.0,,,,
409,"('angel',)",80.0,"('unlimited', 'food')",6.0,,
410,"('hair',)",132.0,"('food', 'ive')",137.0,,
411,"('pasta',)",189.0,"('ive', 'better')",156.0,,
412,"('specials',)",2220.0,"('better', 'sushi')",408.0,,
413,"('listed',)",212.0,"('sushi', 'delicious')",426.0,,
414,"('veal',)",8.0,"('delicious', 'salad')",17.0,,
415,"('entree',)",1102.0,,,,
416,"('kitchen',)",861.0,,,,
417,"('substitute',)",121.0,"('crab', 'rangoon')",579.0,,
418,"('dish',)",3012.0,,,"('cant', 'beat', 'prices')",21.0
419,"('delicately',)",31.0,"('probably', 'worst')",9.0,,
420,"('seasoned',)",570.0,"('worst', 'ive')",17.0,,
421,"('touch',)",563.0,"('ive', 'ive')",30.0,,
422,"('smelling',)",37.0,"('ive', 'twice')",133.0,,
423,"('almost',)",1741.0,,,"('ive', 'better', 'sushi')",33.0
424,"('much',)",7059.0,"('definitely', 'go')",772.0,,
425,"('tasting',)",804.0,"('go', 'great')",57.0,,
426,"('addition',)",798.0,"('great', 'rolls')",117.0,,
427,"('generous',)",988.0,"('rolls', 'sake')",12.0,,
428,"('portion',)",2086.0,,,,
429,"('two',)",5543.0,,,,
430,"('nights',)",529.0,,,,
431,"('later',)",817.0,"('room', 'definitely')",9.0,,
432,"('now',)",3157.0,,,,
433,"('tomorrow',)",70.0,"('added', 'experience')",8.0,,
434,"('absolutely',)",1367.0,,,,
435,"('fabulous',)",346.0,,,,
436,"('recipe',)",53.0,,,,
437,"('subtle',)",121.0,"('good', 'chinese')",126.0,,
438,"('comforting',)",47.0,"('chinese', 'food')",751.0,,
439,"('satisfying',)",332.0,"('food', 'really')",513.0,,
440,"('mention',)",445.0,"('really', 'nice')",751.0,,
441,,,"('nice', 'beer')",8.0,,
442,"('manger',)",13.0,"('beer', 'selection')",127.0,,
443,"('bartenders',)",193.0,,,,
444,,,"('havent', 'tried')",227.0,,
445,"('chris',)",44.0,"('sushi', 'yet')",37.0,,
446,"('pleasant',)",1237.0,"('yet', 'cant')",10.0,,
447,"('professional',)",273.0,"('cant', 'speak')",128.0,,
448,"('helpful',)",1205.0,,,,
449,,,,,"('good', 'chinese', 'food')",56.0
450,"('stopped',)",1139.0,"('staff', 'isnt')",11.0,"('chinese', 'food', 'really')",8.0
451,"('jalapeno',)",279.0,"('isnt', 'exactly')",16.0,"('food', 'really', 'nice')",15.0
452,"('burger',)",639.0,,,,
454,"('patios',)",8.0,,,,
455,"('huge',)",2754.0,,,,
456,"('heat',)",535.0,"('nice', 'enough')",85.0,"('havent', 'tried', 'sushi')",26.0
457,"('attack',)",37.0,,,"('tried', 'sushi', 'yet')",13.0
458,"('korean',)",1772.0,"('food', 'take')",53.0,,
459,"('style',)",1196.0,,,,
460,"('poppers',)",53.0,,,,
461,"('sapporo',)",192.0,"('fancy', 'restaurant')",18.0,,
462,"('honey',)",280.0,"('restaurant', 'go')",55.0,,
463,"('section',)",421.0,,,,
464,"('deepfried',)",74.0,,,,
465,"('look',)",1824.0,,,,
466,"('appetizing',)",103.0,"('friend', 'mine')",71.0,,
467,"('presentation',)",1401.0,,,,
468,"('wan',)",121.0,"('took', 'little')",85.0,,
469,"('na',)",286.0,,,,
470,"('something',)",3543.0,,,,
471,"('new',)",4554.0,,,,
472,"('simple',)",1021.0,"('dale', 'mabry')",53.0,,
473,"('perfectly',)",1466.0,,,,
474,"('executed',)",92.0,"('great', 'time')",357.0,,
475,"('artfully',)",50.0,"('time', 'small')",19.0,,
476,"('made',)",5227.0,"('small', 'place')",227.0,,
477,"('packed',)",1306.0,,,,
478,"('believe',)",893.0,"('12', 'tables')",9.0,,
479,"('use',)",1471.0,"('tables', 'sushi')",31.0,,
480,,,"('sushi', 'bar')",2392.0,,
481,"('grade',)",130.0,"('bar', 'bar')",32.0,,
482,"('color',)",255.0,"('bar', 'seems')",10.0,,
483,"('texture',)",827.0,"('seems', 'place')",10.0,,
484,"('taste',)",3581.0,"('place', 'sit')",70.0,,
485,"('smell',)",274.0,,,,
486,"('easily',)",674.0,,,,
487,"('secret',)",154.0,"('value', 'sushi')",30.0,,
488,"('kewpie',)",11.0,"('sushi', 'chefs')",594.0,,
489,"('mayo',)",1030.0,,,,
490,"('along',)",1077.0,,,,
491,"('w',)",456.0,,,,
492,"('right',)",4594.0,,,,
493,"('amount',)",1959.0,"('always', 'say')",13.0,"('tables', 'sushi', 'bar')",23.0
494,"('sriracha',)",249.0,"('say', 'hi')",18.0,"('sushi', 'bar', 'bar')",6.0
496,"('powder',)",57.0,,,,
497,"('frankly',)",59.0,,,,
498,"('eaten',)",1248.0,,,,
499,"('every',)",3186.0,,,,
500,"('weeks',)",400.0,,,,
501,"('far',)",2091.0,"('table', 'bar')",35.0,,
502,"('introduction',)",15.0,"('bar', 'full')",32.0,,
503,,,"('full', 'pretty')",8.0,,
504,"('brown',)",581.0,"('pretty', 'average')",76.0,,
505,"('greatthe',)",50.0,,,,
506,"('sushiman',)",16.0,,,,
507,,,"('spicy', 'tuna')",2913.0,,
508,"('park',)",366.0,"('tuna', 'roll')",1301.0,,
509,"('amazing',)",4636.0,"('roll', 'rainbow')",112.0,,
510,"('watch',)",592.0,"('rainbow', 'roll')",548.0,,
511,"('seen',)",866.0,"('roll', 'couple')",7.0,,
512,"('skin',)",500.0,"('couple', 'pieces')",48.0,,
