,1-Gram,Frequency,2-Gram,Frequency,3-Gram,Frequency
304,"('yet',)",764.0,"('doesnt', 'eat')",21.0,,
305,"('insisted',)",149.0,"('eat', 'fish')",25.0,,
306,"('seat',)",648.0,"('fish', 'got')",14.0,,
307,"('outside',)",826.0,,,,
308,,,"('know', 'sushi')",69.0,,
309,,,"('sushi', 'restaurant')",482.0,,
311,"('lightning',)",6.0,,,,
312,"('bar',)",3008.0,"('california', 'rolls')",98.0,,
313,"('agreed',)",227.0,"('rolls', 'got')",55.0,,
314,"('despite',)",347.0,"('got', 'spicy')",26.0,,
315,"('moment',)",169.0,"('spicy', 'tuna')",577.0,,
316,"('manager',)",4396.0,"('tuna', 'roll')",338.0,,
317,"('possible',)",298.0,"('roll', 'mediocre')",7.0,,
319,"('can',)",4934.0,,,,
320,"('quality',)",2630.0,,,,
321,"('absolutely',)",1208.0,"('will', 'going')",228.0,,
322,"('horrendous',)",184.0,"('going', 'back')",864.0,,
323,"('fathom',)",12.0,"('back', 'sat')",9.0,"('got', 'spicy', 'tuna')",16.0
324,"('impossible',)",134.0,,,"('spicy', 'tuna', 'roll')",240.0
325,"('allow',)",158.0,,,,
326,"('storm',)",14.0,,,,
327,"('returning',)",801.0,"('drinks', 'served')",9.0,,
328,"('atrocious',)",85.0,,,,
329,"('made',)",3127.0,,,,
330,"('sick',)",1010.0,"('actual', 'food')",12.0,"('will', 'going', 'back')",186.0
331,"('boyfriend',)",673.0,"('food', 'ordered')",180.0,,
332,"('two',)",3687.0,,,,
333,"('fresh',)",2253.0,,,,
334,"('worse',)",961.0,,,,
335,"('refused',)",594.0,,,,
336,"('split',)",197.0,"('zero', 'stars')",266.0,,
337,"('bad',)",4966.0,,,,
338,,,"('chicken', 'teriyaki')",191.0,,
339,"('overall',)",663.0,"('teriyaki', 'lunch')",8.0,,
340,"('unless',)",469.0,"('lunch', 'bento')",9.0,,
341,"('want',)",3096.0,"('bento', 'box')",200.0,,
342,"('bathroom',)",440.0,,,,
343,"('night',)",2863.0,"('literally', 'never')",17.0,,
344,"('ramen',)",1038.0,"('never', 'seen')",152.0,,
345,"('delivered',)",473.0,,,,
346,"('im',)",3853.0,,,,
347,"('youre',)",923.0,,,,
348,"('instant',)",100.0,"('without', 'rice')",17.0,"('chicken', 'teriyaki', 'lunch')",6.0
349,"('soup',)",2709.0,,,,
350,"('sure',)",1979.0,,,"('lunch', 'bento', 'box')",6.0
351,"('priced',)",394.0,"('nothing', 'like')",115.0,,
352,"('totally',)",502.0,,,,
353,"('empty',)",1220.0,,,,
354,"('930',)",94.0,,,,
355,"('disappointed',)",2219.0,"('never', 'give')",31.0,,
356,"('look',)",1318.0,"('give', 'review')",17.0,,
357,"('coming',)",1718.0,"('review', 'yelp')",31.0,,
358,"('looked',)",1915.0,,,,
359,"('rating',)",327.0,,,,
360,"('utensils',)",139.0,"('restaurant', 'sushi')",48.0,,
361,"('begin',)",207.0,"('sushi', 'lover')",44.0,,
362,"('pieces',)",1472.0,,,,
363,"('weird',)",444.0,,,,
364,,,"('poorly', 'cut')",10.0,,
365,"('role',)",41.0,"('cut', 'sushi')",10.0,,
366,"('recommend',)",1823.0,"('sushi', 'rice')",253.0,,
367,"('cant',)",1791.0,"('rice', 'tasteless')",13.0,,
368,"('theres',)",611.0,,,,
369,"('potatoes',)",120.0,,,,
370,"('something',)",2291.0,"('extremely', 'salty')",32.0,,
371,"('weirdest',)",14.0,,,,
372,"('event',)",127.0,,,,
373,"('strongly',)",70.0,,,,
374,"('high',)",845.0,"('took', 'one')",92.0,,
375,"('bug',)",177.0,"('one', 'bite')",140.0,,
376,"('brought',)",1968.0,,,,
377,"('spoiled',)",196.0,"('left', 'rest')",11.0,,
378,"('ate',)",1368.0,"('rest', 'table')",20.0,,
379,"('waitress',)",4380.0,,,,
380,"('far',)",903.0,"('worst', 'experience')",293.0,,
381,"('true',)",203.0,,,,
382,"('thumbs',)",46.0,,,,
383,"('now',)",2547.0,,,,
384,"('regretting',)",8.0,"('45', 'star')",19.0,,
385,"('chills',)",6.0,"('star', 'restaurant')",25.0,"('took', 'one', 'bite')",43.0
386,"('fever',)",12.0,"('restaurant', 'please')",8.0,,
387,"('vomiting',)",71.0,"('please', 'avoid')",17.0,,
388,"('upset',)",485.0,"('avoid', 'cost')",21.0,,
389,"('stomach',)",494.0,,,,
390,"('crunchy',)",298.0,"('live', 'neighborhood')",10.0,,
391,"('experienced',)",389.0,,,,
392,"('flagging',)",15.0,"('used', 'order')",19.0,,
393,"('waitresses',)",336.0,"('order', 'least')",21.0,,
394,"('except',)",364.0,"('least', 'week')",22.0,,
395,"('alcohol',)",145.0,,,,
396,"('friends',)",1678.0,,,,
397,"('leaving',)",632.0,,,,
398,"('cash',)",356.0,"('last', 'times')",45.0,,
399,"('cover',)",147.0,"('times', 'wait')",11.0,,
400,"('tabs',)",12.0,"('wait', '10')",33.0,,
401,"('tip',)",1378.0,"('10', '15')",17.0,,
402,"('staff',)",2801.0,"('15', 'minutes')",890.0,,
403,"('proceeded',)",414.0,,,,
404,"('call',)",1226.0,,,,
406,"('follow',)",125.0,"('around', 'trying')",10.0,,
407,"('threatening',)",19.0,"('trying', 'find')",29.0,,
408,"('cops',)",45.0,,,,
409,"('intolerance',)",7.0,,,,
410,,,"('wanted', 'pay')",25.0,,
411,"('definitely',)",1308.0,"('pay', 'food')",45.0,,
412,"('prevent',)",26.0,"('food', 'take')",28.0,"('10', '15', 'minutes')",9.0
413,"('today',)",1247.0,"('take', 'home')",76.0,,
414,"('menus',)",511.0,,,,
415,"('spent',)",605.0,,,,
416,"('quite',)",656.0,,,,
417,"('bit',)",782.0,,,,
418,"('break',)",188.0,"('gave', '2')",8.0,,
419,"('work',)",990.0,,,,
420,"('server',)",4227.0,,,,
421,"('serve',)",920.0,,,,
422,"('cool',)",241.0,,,,
423,"('dollars',)",468.0,"('check', 'get')",16.0,,
424,"('asian',)",755.0,"('get', 'home')",61.0,,
426,"('3',)",2569.0,"('wrong', 'food')",81.0,,
427,"('throwing',)",193.0,"('food', 'warm')",8.0,,
428,"('good',)",7997.0,,,,
429,"('salmon',)",1620.0,"('dish', 'cold')",6.0,,
430,,,"('cold', 'sushi')",33.0,,
431,"('overcooked',)",349.0,,,,
432,"('lot',)",1219.0,,,,
433,"('carrots',)",98.0,"('lost', 'customer')",61.0,,
434,"('1st',)",148.0,,,,
435,"('day',)",1711.0,"('husband', 'went')",66.0,,
436,"('grubhub',)",188.0,"('went', 'friday')",39.0,,
437,"('carryout',)",35.0,"('friday', 'evening')",32.0,,
438,"('accepted',)",53.0,,,,
439,"('ready',)",1032.0,,,,
440,"('everyone',)",969.0,"('cut', 'right')",7.0,,
441,"('counter',)",492.0,"('right', 'front')",89.0,,
442,"('getting',)",1325.0,"('front', 'us')",147.0,,
443,"('meal',)",3067.0,"('us', 'walked')",39.0,,
444,"('price',)",1808.0,"('walked', 'hostess')",22.0,,
445,"('watched',)",314.0,"('hostess', 'stand')",59.0,,
446,"('9',)",306.0,,,,
447,"('online',)",515.0,,,,
448,"('fact',)",771.0,"('party', 'four')",25.0,,
449,"('ahead',)",304.0,,,,
450,"('double',)",224.0,"('promptly', 'seated')",21.0,,
451,"('confirmed',)",111.0,,,,
452,,,,,"('right', 'front', 'us')",22.0
453,"('apologized',)",367.0,,,,
454,"('frequently',)",90.0,"('tables', 'open')",39.0,,
455,"('offered',)",821.0,,,,
456,"('explanation',)",156.0,"('well', 'people')",9.0,,
457,"('longer',)",648.0,,,,
458,"('ordering',)",1123.0,"('finishing', 'meals')",9.0,,
459,"('charged',)",1216.0,,,,
460,"('twice',)",769.0,"('several', 'tables')",28.0,,
461,"('picked',)",440.0,"('tables', 'yet')",6.0,,
462,"('block',)",78.0,,,,
464,"('n',)",212.0,"('seat', 'us')",196.0,,
465,,,"('us', 'outside')",18.0,,
466,"('hoped',)",51.0,,,,
467,"('carry',)",148.0,,,,
468,"('often',)",323.0,,,,
469,"('thoroughly',)",54.0,,,,
470,"('ok',)",1763.0,,,,
471,"('due',)",625.0,"('sushi', 'bar')",742.0,,
472,"('either',)",1077.0,"('bar', 'asked')",39.0,,
473,"('mostly',)",287.0,"('asked', 'long')",23.0,,
474,"('japanese',)",1167.0,"('long', 'wait')",187.0,,
475,"('250',)",54.0,"('wait', 'table')",46.0,,
476,"('delivery',)",1037.0,"('table', 'first')",15.0,,
477,"('china',)",67.0,"('first', 'said')",17.0,,
478,"('king',)",105.0,"('said', '30')",11.0,,
479,,,"('30', 'minutes')",822.0,,
483,"('repeat',)",124.0,,,"('sushi', 'bar', 'asked')",12.0
484,"('multiple',)",559.0,"('open', 'tables')",80.0,,
485,"('phone',)",1222.0,,,"('asked', 'long', 'wait')",8.0
486,"('unfortunately',)",742.0,"('moment', 'later')",8.0,,
487,"('little',)",1779.0,"('later', 'manager')",11.0,,
488,"('fixed',)",61.0,"('manager', 'came')",205.0,,
489,"('anything',)",2022.0,"('came', 'said')",95.0,,
490,"('excuses',)",142.0,,,"('said', '30', 'minutes')",6.0
491,"('think',)",2006.0,,,,
492,"('adequate',)",37.0,,,,
493,"('terrible',)",2938.0,,,,
494,"('portions',)",463.0,,,,
495,"('diminished',)",13.0,"('comment', 'quality')",6.0,,
496,"('dishes',)",934.0,"('quality', 'food')",456.0,,
497,"('followed',)",141.0,"('food', 'can')",63.0,,
498,"('suit',)",11.0,"('can', 'say')",162.0,,
499,"('mean',)",520.0,"('say', 'service')",28.0,,
500,,,"('service', 'absolutely')",110.0,,
501,"('degree',)",24.0,"('absolutely', 'horrendous')",24.0,"('manager', 'came', 'said')",15.0
